LOT,WAFER_ID,PRODUCT,ROUTE,LAYER,DEVICE,SUBENTITY,OPERATION,RECIPE,SUBENTITY_END_TIME,PILOT_STATUS,N_SCAN,SUM_NCDD,STATUS,CLASS,ZERO_NCDD,INSPECT_TIME,INSPECT_TOOL,BEEP_NCDD,STATUS_BEEP,CLASS_BEEP,ZERO_BEEP,SMP_NCDD,STATUS_SMP,CLASS_SMP,ZERO_SMP,STEPPER,RETICLE,SIF_SED,SIF_ETCH,SIF_DEFECT,ENTITY,LOT7,WAFER,SLOT,P_ORDER,CCMR2,ICCR2,GF,CV,SRCIP,FULLPM,FULLPM_RF,MINIPM,MINIPM_RF,CNTR_SS,PL_RECIPE,PT_BTWN,PL_TIME,UPT_12HRS,UNW_12HRS,UP_12HRS,PLSCR,SLD,LNRCAT,LNRTSG,SLVCAT,HUB,LID,SNZZL,RECOAT,RAW_LEAK_RATE,SMOOTH_LEAK_RATE,DP_FAIL_HRS,LB_AR,LB_C4F8_IGI,LB_CF4,LB_CH3F,LB_CH4,LB_CHF3,LB_CL2,LB_CL2_HI,LB_COS,LB_H2,LB_HBr,LB_HBR,LB_HE,LB_N2_HI,LB_N2_LO,LB_NF3,LB_O2,LB_O2_IGI,ADDED_CLUSTERS,ADDED_CLUSTERS_MA3,ADDED_CLUSTERS_MA6,ADDED_CLUSTERS_MA9,ADDED_CLUSTER_AREA,ADDED_CLUSTER_AREA_MA3,ADDED_CLUSTER_AREA_MA6,ADDED_CLUSTER_AREA_MA9,LARGE_ADDERS,LARGE_ADDERS_MA3,LARGE_ADDERS_MA6,LARGE_ADDERS_MA9,TOTAL_ADDERS,TOTAL_ADDERS_MA3,TOTAL_ADDERS_MA6,TOTAL_ADDERS_MA9,MONTW_4HRS,MONTW_12HRS,MONTW_24HRS,MONTW_48HRS,MONTW_72HRS,MONTW_96HRS,8GAB_4HRS,8GAB_12HRS,8GAB_24HRS,8GAB_48HRS,8GAB_72HRS,8GAB_96HRS,8THA_4HRS,8THA_12HRS,8THA_24HRS,8THA_48HRS,8THA_72HRS,8THA_96HRS,8GOB_4HRS,8GOB_12HRS,8GOB_24HRS,8GOB_48HRS,8GOB_72HRS,8GOB_96HRS,8PIL_4HRS,8PIL_12HRS,8PIL_24HRS,8PIL_48HRS,8PIL_72HRS,8PIL_96HRS,8SIF_4HRS,8SIF_12HRS,8SIF_24HRS,8SIF_48HRS,8SIF_72HRS,8SIF_96HRS,8MT5_4HRS,8MT5_12HRS,8MT5_24HRS,8MT5_48HRS,8MT5_72HRS,8MT5_96HRS,0GAB_4HRS,0GAB_12HRS,0GAB_24HRS,0GAB_48HRS,0GAB_72HRS,0GAB_96HRS,0THA_4HRS,0THA_12HRS,0THA_24HRS,0THA_48HRS,0THA_72HRS,0THA_96HRS,0GOB_4HRS,0GOB_12HRS,0GOB_24HRS,0GOB_48HRS,0GOB_72HRS,0GOB_96HRS,0PIL_4HRS,0PIL_12HRS,0PIL_24HRS,0PIL_48HRS,0PIL_72HRS,0PIL_96HRS,0SIF_4HRS,0SIF_12HRS,0SIF_24HRS,0SIF_48HRS,0SIF_72HRS,0SIF_96HRS,ROUTE_STARTS,DP_FAIL_15,DP_FAIL_30,DP_FAIL_60,TOTAL_ADDERS_CLASS,TOTAL_ADDERS_MA3_CLASS,TOTAL_ADDERS_MA6_CLASS,TOTAL_ADDERS_MA9_CLASS,LARGE_ADDERS_CLASS,LARGE_ADDERS_MA3_CLASS,LARGE_ADDERS_MA6_CLASS,LARGE_ADDERS_MA9_CLASS,ADDED_CLUSTERS_CLASS,ADDED_CLUSTERS_MA3_CLASS,ADDED_CLUSTERS_MA6_CLASS,ADDED_CLUSTERS_MA9_CLASS,ADDED_CLUSTER_AREA_CLASS,ADDED_CLUSTER_AREA_MA3_CLASS,ADDED_CLUSTER_AREA_MA6_CLASS,ADDED_CLUSTER_AREA_MA9_CLASS
D5306470J,GP1WY283JKC7,8PXMCVAG,FL,8M5CL,PXMG,AME421_PM6,263067.0,P_78_GABON_B10_R3,2025-11-30 18:09:07,SRCIP,6,0.189976,HIGHFLIER,HIGHFLIER,False,2025-11-30 19:24:26,BPD436,0.061614,HIGHFLIER,HIGHFLIER,False,0.128362,HIGHFLIER,HIGHFLIER,False,SNY511,8PXMCGMT51NA1,0,1,1,AME421,D530647,283,17.0,9.0,ON,ON,ON,ON,ON,2046.0,130.0,2046.0,130.0,809.0,P_78_GABON_R1,0.0347852778,11/30/2025 6:09:07 PM,7.8220322222,126.98411612,65.183601852,False,False,False,False,False,False,1.0,False,False,0.1123,0.10024,8727.718611111111,0.001,0.0,0.012,0.007,0.0,0.001,0.128,,0.0,0.002,0.001,,0.005,0.002,0.001,0.0,0.002,0.008,0.0,0.0,0.055556,0.037037,0.0,0.0,0.0075,0.005,0.0,0.0,0.444444,0.62963,0.0,0.111111,0.888889,0.925926,1.0,2.0,24.0,26.0,28.0,31.0,39.0,46.0,106.0,158.0,310.0,348.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,24.0,25.0,74.0,74.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,56.0,106.0,168.0,235.0,271.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2238456-1_54,0,0,0,0,1,2,2,0,0,2,2,0,0,1,1,0,0,1,1
D5306470J,GP1WY280JKE7,8PXMCVAG,FL,8M5CL,PXMG,AME421_PM6,263067.0,P_78_GABON_B10_R3,2025-11-30 18:01:42,SRCIP,6,0.007318,BSL,BSL,False,2025-11-30 19:24:26,BPD436,0.003659,BSL,BSL,False,0.003659,BSL,BSL,False,SNY511,8PXMCGMT51NA1,0,1,1,AME421,D530647,280,14.0,7.0,ON,ON,ON,ON,ON,2046.0,130.0,2046.0,130.0,809.0,P_78_GABON_R1,0.0347852778,11/30/2025 6:01:42 PM,7.8220322222,126.98411612,65.183601852,False,False,False,False,False,False,1.0,False,False,0.1123,0.10024,8727.595,0.001,0.0,0.012,0.007,0.0,0.001,0.128,,0.0,0.002,0.001,,0.005,0.002,0.001,0.0,0.002,0.008,0.0,0.0,0.055556,0.037037,0.0,0.0,0.0075,0.005,0.0,0.0,0.444444,0.62963,0.0,0.111111,0.888889,0.925926,1.0,2.0,24.0,26.0,28.0,31.0,39.0,48.0,106.0,159.0,310.0,348.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,24.0,25.0,74.0,74.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,54.0,104.0,166.0,233.0,269.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2238456-1_54,0,0,0,0,1,2,2,0,0,2,2,0,0,1,1,0,0,1,1
D5306470J,GP1WY279JKB6,8PXMCVAG,FL,8M5CL,PXMG,AME421_PM6,263067.0,P_78_GABON_B10_R3,2025-11-30 17:57:22,SRCIP,6,0.251037,HIGHFLIER,HIGHFLIER,False,2025-11-30 19:24:26,BPD436,0.121827,HIGHFLIER,HIGHFLIER,False,0.12921,HIGHFLIER,HIGHFLIER,False,SNY511,8PXMCGMT51NA1,0,1,1,AME421,D530647,279,12.0,6.0,ON,ON,ON,ON,ON,2046.0,130.0,2046.0,130.0,809.0,P_78_GABON_R1,0.0347852778,11/30/2025 5:57:22 PM,7.8220322222,126.98411612,65.183601852,False,False,False,False,False,False,1.0,False,False,0.1123,0.10024,8727.522777777778,0.001,0.0,0.012,0.007,0.0,0.001,0.128,,0.0,0.002,0.001,,0.005,0.002,0.001,0.0,0.002,0.008,0.0,0.0,0.055556,0.037037,0.0,0.0,0.0075,0.005,0.0,0.0,0.444444,0.62963,0.0,0.111111,0.888889,0.925926,1.0,2.0,24.0,26.0,28.0,31.0,39.0,49.0,106.0,160.0,310.0,348.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,24.0,25.0,74.0,74.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,103.0,165.0,232.0,268.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2238456-1_54,0,0,0,0,1,2,2,0,0,2,2,0,0,1,1,0,0,1,1
D5306470J,GP1WY266JKG5,8PXMCVAG,FL,8M5CL,PXMG,AME421_PM6,263067.0,P_78_GABON_B10_R3,2025-11-30 17:49:32,SRCIP,6,0.021956,HIGHFLIER,HIGHFLIER,False,2025-11-30 19:24:26,BPD436,0.010978,HIGHFLIER,HIGHFLIER,False,0.010978,BSL,BSL,False,SNY511,8PXMCGMT51NA1,0,1,1,AME421,D530647,266,5.0,4.0,ON,ON,ON,ON,ON,2046.0,130.0,2046.0,130.0,809.0,P_78_GABON_R1,0.0347852778,11/30/2025 5:49:32 PM,7.8220322222,126.98411612,65.183601852,False,False,False,False,False,False,1.0,False,False,0.1123,0.10024,8727.392222222223,0.001,0.0,0.012,0.007,0.0,0.001,0.128,,0.0,0.002,0.001,,0.005,0.002,0.001,0.0,0.002,0.008,0.0,0.0,0.055556,0.037037,0.0,0.0,0.0075,0.005,0.0,0.0,0.444444,0.62963,0.0,0.111111,0.888889,0.925926,1.0,2.0,24.0,26.0,28.0,31.0,39.0,51.0,106.0,162.0,310.0,348.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,24.0,25.0,74.0,75.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,51.0,101.0,163.0,230.0,266.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2238456-1_54,0,0,0,0,1,2,2,0,0,2,2,0,0,1,1,0,0,1,1
D5306470J,GP1WY276JKD6,8PXMCVAG,FL,8M5CL,PXMG,AME421_PM6,263067.0,P_78_GABON_B10_R3,2025-11-30 17:42:11,SRCIP,6,0.0,BSL,ZERO,True,2025-11-30 19:24:26,BPD436,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY511,8PXMCGMT51NA1,0,1,1,AME421,D530647,276,2.0,2.0,ON,ON,ON,ON,ON,2046.0,130.0,2046.0,130.0,809.0,P_78_GABON_R1,0.0347852778,11/30/2025 5:42:11 PM,7.8220322222,126.98411612,65.183601852,False,False,False,False,False,False,1.0,False,False,0.1123,0.10024,8727.269722222221,0.001,0.0,0.012,0.007,0.0,0.001,0.128,,0.0,0.002,0.001,,0.005,0.002,0.001,0.0,0.002,0.008,0.0,0.0,0.055556,0.037037,0.0,0.0,0.0075,0.005,0.0,0.0,0.444444,0.62963,0.0,0.111111,0.888889,0.925926,1.0,2.0,24.0,26.0,28.0,31.0,39.0,52.0,106.0,164.0,310.0,348.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,24.0,25.0,74.0,77.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,49.0,99.0,161.0,228.0,264.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2238456-1_54,0,0,0,0,1,2,2,0,0,2,2,0,0,1,1,0,0,1,1
D5306470J,GP1WY284JKH1,8PXMCVAG,FL,8M5CL,PXMG,AME421_PM6,263067.0,P_78_GABON_B10_R3,2025-11-30 17:38:27,SRCIP,6,0.0,BSL,ZERO,True,2025-11-30 19:24:26,BPD436,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY511,8PXMCGMT51NA1,0,1,1,AME421,D530647,284,1.0,1.0,ON,ON,ON,ON,ON,2046.0,130.0,2046.0,130.0,809.0,P_78_GABON_R1,0.0347852778,11/30/2025 5:38:27 PM,7.8220322222,126.98411612,65.183601852,False,False,False,False,False,False,1.0,False,False,0.1123,0.10024,8727.2075,0.001,0.0,0.012,0.007,0.0,0.001,0.128,,0.0,0.002,0.001,,0.005,0.002,0.001,0.0,0.002,0.008,0.0,0.0,0.055556,0.037037,0.0,0.0,0.0075,0.005,0.0,0.0,0.444444,0.62963,0.0,0.111111,0.888889,0.925926,1.0,2.0,24.0,26.0,28.0,31.0,39.0,52.0,106.0,165.0,310.0,348.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,24.0,25.0,74.0,77.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,49.0,98.0,160.0,227.0,263.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2238456-1_54,0,0,0,0,1,2,2,0,0,2,2,0,0,1,1,0,0,1,1
D5380250,GR4XN261JKF1,8PXMCVAG,FL,8M5CL,PXMG,AME417_PM4,263067.0,P_78_GABON_B10_R3,2025-11-30 15:40:39,CCMR2+ICCR2+CV+GF,2,0.0,BSL,ZERO,True,2025-11-30 16:55:16,BPD448,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNV440,8PXMCGMT51NA2,0,1,0,AME417,D538025,261,16.0,8.0,ON,ON,ON,ON,OFF,7332.0,359.0,7332.0,359.0,827.0,P_78_GABON_B10_R3,0.0208386111,11/30/2025 3:40:39 PM,7.9769119444,128.24988592,66.474266204,True,True,True,True,True,False,2.0,False,True,0.0961,0.09642,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,,0.001,0.0,0.0,,0.0,0.003,0.01,0.0,0.016,0.0,1.0,0.333333,0.166667,0.111111,0.63,0.21,0.105,0.07,1.0,0.555556,0.277778,0.333333,2.0,0.888889,0.777778,0.740741,1.0,2.0,3.0,5.0,20.0,23.0,30.0,81.0,114.0,215.0,332.0,416.0,0.0,12.0,24.0,66.0,123.0,147.0,0.0,4.0,70.0,76.0,113.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,42.0,110.0,147.0,147.0,0.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2203458-1_10471,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
D5380250,GR4XN262JKC0,8PXMCVAG,FL,8M5CL,PXMG,AME417_PM3,263067.0,P_78_GABON_B10_R3,2025-11-30 15:33:21,CCMR2+ICCR2+CV+GF,2,0.0,BSL,ZERO,True,2025-11-30 16:55:16,BPD448,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNV440,8PXMCGMT51NA2,0,1,0,AME417,D538025,262,11.0,6.0,ON,ON,ON,ON,OFF,3836.0,192.0,3836.0,192.0,835.0,P_78_GABON_B10_R3,0.0208155556,11/30/2025 3:33:21 PM,10.507791944,168.25041085,87.56493287,False,False,False,False,False,False,2.0,False,False,0.0913,0.0867,,0.0,0.0,0.0,0.0,0.003,0.0,0.003,,0.001,0.003,0.0,,0.0,0.001,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666667,0.444444,0.777778,2.0,1.333333,0.944444,1.740741,1.0,2.0,3.0,6.0,24.0,26.0,15.0,63.0,91.0,199.0,324.0,387.0,0.0,13.0,24.0,68.0,130.0,156.0,0.0,7.0,54.0,59.0,95.0,120.0,21.0,53.0,104.0,136.0,136.0,161.0,0.0,0.0,0.0,7.0,7.0,7.0,19.0,31.0,43.0,94.0,130.0,130.0,0.0,0.0,0.0,17.0,17.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2203458-1_10471,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
D5295380,GN9KR023JKF1,8PXMCVAG,FL,8M5CL,PXMG,AME417_PM2,263067.0,P_78_GABON_B10_R3,2025-11-30 14:57:25,ICCR2+CV+GF,2,0.0,BSL,ZERO,True,2025-11-30 16:07:32,BPD454,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY511,8PXMCGMT51NA1,0,0,0,AME417,D529538,23,22.0,21.0,OFF,ON,ON,ON,OFF,20184.0,1312.0,2563.0,122.0,633.0,P_78_GABON_B10_R3,0.1885677778,11/30/2025 2:57:25 PM,7.2525963889,116.83758555,60.438303241,False,False,False,False,False,False,1.0,False,False,0.0821,0.08148,592.1902777777777,0.0,0.005,0.002,0.0,0.002,0.001,0.004,,0.001,0.004,0.0,,0.001,0.0,0.002,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.111111,0.62963,0.0,0.111111,0.166667,0.666667,0.0,0.0,12.0,24.0,25.0,25.0,0.0,53.0,101.0,171.0,267.0,387.0,0.0,12.0,36.0,93.0,117.0,129.0,0.0,0.0,0.0,60.0,133.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,49.0,49.0,75.0,99.0,130.0,7.0,7.0,7.0,34.0,40.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2203458-1_2586,0,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0
D5295380,GN9KR006JKB4,8PXMCVAG,FL,8M5CL,PXMG,AME417_PM2,263067.0,P_78_GABON_B10_R3,2025-11-30 14:12:18,ICCR2+CV+GF,2,0.003659,BSL,BSL,False,2025-11-30 16:07:32,BPD454,0.0,BSL,ZERO,True,0.003659,BSL,BSL,False,SNY511,8PXMCGMT51NA1,0,0,0,AME417,D529538,6,9.0,9.0,OFF,ON,ON,ON,OFF,20184.0,1312.0,2563.0,122.0,633.0,P_78_GABON_B10_R3,0.1885677778,11/30/2025 2:12:18 PM,7.2525963889,116.83758555,60.438303241,False,False,False,False,False,False,1.0,False,False,0.0821,0.08148,591.4383333333334,0.0,0.005,0.002,0.0,0.002,0.001,0.004,,0.001,0.004,0.0,,0.001,0.0,0.002,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.111111,0.62963,0.0,0.111111,0.166667,0.666667,0.0,0.0,12.0,24.0,25.0,25.0,0.0,64.0,113.0,183.0,276.0,387.0,0.0,12.0,36.0,93.0,117.0,141.0,0.0,0.0,0.0,60.0,133.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.0,37.0,63.0,87.0,118.0,7.0,7.0,7.0,34.0,40.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2203458-1_2586,0,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0
D5311950,GQ0VB510JKB6,8PXMCVAG,FL,8M5CL,PXMG,AME417_PM1,263067.0,P_78_GABON_B10_R3,2025-11-30 10:31:25,CCMR2+ICCR2+CV+GF,2,0.0,BSL,ZERO,True,2025-11-30 12:49:13,BPD454,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY511,8PXMCGMT51NA1,0,0,0,AME417,D531195,510,8.0,8.0,ON,ON,ON,ON,OFF,19847.0,1287.0,6554.0,323.0,966.0,P_78_GABON_B10_R3,0.5029552778,11/30/2025 10:31:25 AM,9.2554880556,144.13704276,77.12906713,False,False,False,False,False,False,1.0,False,False,0.0837,0.08152,7775.173611111111,0.0,0.005,0.0,0.0,0.005,0.002,0.0,,0.0,0.0,0.0,,0.003,0.002,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,1.592593,0.0,1.0,1.055556,2.037037,1.0,2.0,15.0,31.0,33.0,37.0,13.0,79.0,92.0,167.0,273.0,327.0,11.0,38.0,42.0,103.0,129.0,160.0,0.0,1.0,25.0,100.0,139.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,89.0,111.0,128.0,0.0,0.0,0.0,16.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2203458-1_3542,0,0,0,0,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0
D5311950,GQ0VB511JKG0,8PXMCVAG,FL,8M5CL,PXMG,AME417_PM1,263067.0,P_78_GABON_B10_R3,2025-11-30 10:27:54,CCMR2+ICCR2+CV+GF,2,0.0,BSL,ZERO,True,2025-11-30 12:49:13,BPD454,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY511,8PXMCGMT51NA1,0,0,0,AME417,D531195,511,7.0,7.0,ON,ON,ON,ON,OFF,19847.0,1287.0,6554.0,323.0,966.0,P_78_GABON_B10_R3,0.5029552778,11/30/2025 10:27:54 AM,9.2554880556,144.13704276,77.12906713,False,False,False,False,False,False,1.0,False,False,0.0837,0.08152,7775.115,0.0,0.005,0.0,0.0,0.005,0.002,0.0,,0.0,0.0,0.0,,0.003,0.002,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,1.592593,0.0,1.0,1.055556,2.037037,1.0,2.0,15.0,31.0,33.0,37.0,13.0,79.0,92.0,167.0,273.0,327.0,12.0,38.0,43.0,103.0,129.0,161.0,0.0,2.0,25.0,100.0,139.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,49.0,88.0,111.0,127.0,0.0,0.0,0.0,16.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FL78.31YBC_SNIP_DLP2203458-1_3542,0,0,0,0,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0
D547R100B,A11NG077SLG4,8PONCVEB,RE,8M6CL,PNCB,AME419_PM5,260463.0,P_78_GABON,2025-11-30 10:27:22,POR+CV,4,0.0,BSL,ZERO,True,2025-11-30 11:30:51,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY449,8PXSCBMT61NA1,0,0,1,AME419,D547R10,77,18.0,4.0,OFF,OFF,OFF,ON,OFF,21250.0,1375.0,6287.0,437.0,243.0,P_78_GOBI_R3,2.7988502778,11/30/2025 10:27:22 AM,4.3504475,53.746243885,36.253729167,False,False,False,False,False,False,1.0,False,False,0.0685,0.06604,,0.001,0.002,0.0,0.0,0.001,0.001,0.005,,0.003,0.004,0.0,,0.002,0.0,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,12.0,3.0,15.0,64.0,101.0,101.0,114.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,39.0,49.0,74.0,92.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RE78.0G3EA_SNIP_DLP2201248-1_288,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
D547R100B,A11NG086SLG6,8PONCVEB,RE,8M6CL,PNCB,AME419_PM5,260463.0,P_78_GABON,2025-11-30 10:23:09,POR+CV,4,0.0,BSL,ZERO,True,2025-11-30 11:30:51,BPD450,0.0,BSL,ZERO,True,0.0,BSL,ZERO,True,SNY449,8PXSCBMT61NA1,0,0,1,AME419,D547R10,86,17.0,3.0,OFF,OFF,OFF,ON,OFF,21250.0,1375.0,6287.0,437.0,243.0,P_78_GOBI_R3,2.7988502778,11/30/2025 10:23:09 AM,4.3504475,53.746243885,36.253729167,False,False,False,False,False,False,1.0,False,False,0.0685,0.06604,,0.001,0.002,0.0,0.0,0.001,0.001,0.005,,0.003,0.004,0.0,,0.002,0.0,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,12.0,2.0,14.0,63.0,100.0,100.0,113.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,40.0,49.0,74.0,92.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RE78.0G3EA_SNIP_DLP2201248-1_288,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
