WAFER_ID,LAYER,LOT,INSPECT_TIME,WDS_L_SIARC_DEP_ENTITY,WDS_L_SIARC_DEP_OPERATION,WDS_L_SIARC_DEP_WAFER_ENTITY_END_TIME,WDS_L_CHM_DEP_ENTITY,WDS_L_CHM_DEP_OPERATION,WDS_L_CHM_DEP_WAFER_ENTITY_END_TIME,WDS_L_SED_ENTITY,WDS_L_SED_OPERATION,WDS_L_SED_WAFER_ENTITY_END_TIME,WDS_L_SED_SUBENTITY_0,WDS_L_SED_SUBENTITY_0_BATCH_IDLE,WDS_L_SED_SUBENTITY_0_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_0_PROCESS_ORDER,WDS_L_SED_SUBENTITY_0_SEQUENCE,WDS_L_SED_SUBENTITY_0_UTILIZATION,WDS_L_SED_SUBENTITY_1,WDS_L_SED_SUBENTITY_1_BATCH_IDLE,WDS_L_SED_SUBENTITY_1_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_1_PROCESS_ORDER,WDS_L_SED_SUBENTITY_1_SEQUENCE,WDS_L_SED_SUBENTITY_1_UTILIZATION,WDS_L_SED_SUBENTITY_2,WDS_L_SED_SUBENTITY_2_BATCH_IDLE,WDS_L_SED_SUBENTITY_2_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_2_PROCESS_ORDER,WDS_L_SED_SUBENTITY_2_SEQUENCE,WDS_L_SED_SUBENTITY_2_UTILIZATION,WDS_L_SED_SUBENTITY_3,WDS_L_SED_SUBENTITY_3_BATCH_IDLE,WDS_L_SED_SUBENTITY_3_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_3_PROCESS_ORDER,WDS_L_SED_SUBENTITY_3_SEQUENCE,WDS_L_SED_SUBENTITY_3_UTILIZATION,WDS_L_SED_SUBENTITY_4,WDS_L_SED_SUBENTITY_4_BATCH_IDLE,WDS_L_SED_SUBENTITY_4_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_4_PROCESS_ORDER,WDS_L_SED_SUBENTITY_4_SEQUENCE,WDS_L_SED_SUBENTITY_4_UTILIZATION,WDS_L_SED_SUBENTITY_5,WDS_L_SED_SUBENTITY_5_BATCH_IDLE,WDS_L_SED_SUBENTITY_5_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_5_PROCESS_ORDER,WDS_L_SED_SUBENTITY_5_SEQUENCE,WDS_L_SED_SUBENTITY_5_UTILIZATION,WDS_L_SED_SUBENTITY_6,WDS_L_SED_SUBENTITY_6_BATCH_IDLE,WDS_L_SED_SUBENTITY_6_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_6_PROCESS_ORDER,WDS_L_SED_SUBENTITY_6_SEQUENCE,WDS_L_SED_SUBENTITY_6_UTILIZATION,WDS_L_SED_SUBENTITY_7,WDS_L_SED_SUBENTITY_7_BATCH_IDLE,WDS_L_SED_SUBENTITY_7_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_7_PROCESS_ORDER,WDS_L_SED_SUBENTITY_7_SEQUENCE,WDS_L_SED_SUBENTITY_7_UTILIZATION,WDS_L_SED_SUBENTITY_8,WDS_L_SED_SUBENTITY_8_BATCH_IDLE,WDS_L_SED_SUBENTITY_8_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_8_PROCESS_ORDER,WDS_L_SED_SUBENTITY_8_SEQUENCE,WDS_L_SED_SUBENTITY_8_UTILIZATION,WDS_L_SED_SUBENTITY_9,WDS_L_SED_SUBENTITY_9_BATCH_IDLE,WDS_L_SED_SUBENTITY_9_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_9_PROCESS_ORDER,WDS_L_SED_SUBENTITY_9_SEQUENCE,WDS_L_SED_SUBENTITY_9_UTILIZATION,WDS_L_SED_SUBENTITY_10,WDS_L_SED_SUBENTITY_10_BATCH_IDLE,WDS_L_SED_SUBENTITY_10_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_10_PROCESS_ORDER,WDS_L_SED_SUBENTITY_10_SEQUENCE,WDS_L_SED_SUBENTITY_10_UTILIZATION,WDS_L_SED_SUBENTITY_11,WDS_L_SED_SUBENTITY_11_BATCH_IDLE,WDS_L_SED_SUBENTITY_11_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_11_PROCESS_ORDER,WDS_L_SED_SUBENTITY_11_SEQUENCE,WDS_L_SED_SUBENTITY_11_UTILIZATION,WDS_L_SED_SUBENTITY_12,WDS_L_SED_SUBENTITY_12_BATCH_IDLE,WDS_L_SED_SUBENTITY_12_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_12_PROCESS_ORDER,WDS_L_SED_SUBENTITY_12_SEQUENCE,WDS_L_SED_SUBENTITY_12_UTILIZATION,WDS_L_SED_SUBENTITY_13,WDS_L_SED_SUBENTITY_13_BATCH_IDLE,WDS_L_SED_SUBENTITY_13_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_13_PROCESS_ORDER,WDS_L_SED_SUBENTITY_13_SEQUENCE,WDS_L_SED_SUBENTITY_13_UTILIZATION,WDS_L_SED_SUBENTITY_14,WDS_L_SED_SUBENTITY_14_BATCH_IDLE,WDS_L_SED_SUBENTITY_14_PRIOR_ALIAS,WDS_L_SED_SUBENTITY_14_PROCESS_ORDER,WDS_L_SED_SUBENTITY_14_SEQUENCE,WDS_L_SED_SUBENTITY_14_UTILIZATION,WDS_E_HM_ETCH_ENTITY,WDS_E_HM_ETCH_OPERATION,WDS_E_HM_ETCH_WAFER_ENTITY_END_TIME,WDS_E_HM_ETCH_SUBENTITY_0,WDS_E_HM_ETCH_SUBENTITY_0_BATCH_IDLE,WDS_E_HM_ETCH_SUBENTITY_0_PRIOR_ALIAS,WDS_E_HM_ETCH_SUBENTITY_0_PROCESS_ORDER,WDS_E_HM_ETCH_SUBENTITY_0_SEQUENCE,WDS_E_HM_ETCH_SUBENTITY_0_UTILIZATION,WDS_W_HM_CLN_ENTITY,WDS_W_HM_CLN_OPERATION,WDS_W_HM_CLN_WAFER_ENTITY_END_TIME,WDS_W_HM_CLN_SUBENTITY_0,WDS_W_HM_CLN_SUBENTITY_0_BATCH_IDLE,WDS_W_HM_CLN_SUBENTITY_0_PRIOR_ALIAS,WDS_W_HM_CLN_SUBENTITY_0_PROCESS_ORDER,WDS_W_HM_CLN_SUBENTITY_0_SEQUENCE,WDS_W_HM_CLN_SUBENTITY_0_UTILIZATION
5DXOY739MVE4,8M6CL,D614EAN0,2026-09-14 03:00:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5DXOY745MVG6,8M6CL,D614EAN0,2026-09-14 03:00:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5DXOY751MVB5,8M6CL,D614EAN0,2026-09-14 03:00:12,,,,TBF455,174938.0,2026-09-13 23:47:15.160,SNV440,273658.0,2026-09-14 00:35:53.859,SNV440_CADH412,0.261,L_8M6_SED,1.0,748.0,0.442,SNV440_CHK1,0.23,L_8M6_SED,3.0,5375.0,0.399,SNV440_COT43,0.223,L_8M6_SED,2.0,2760.0,0.501,SNV440_COT64,0.19,L_8M6_SED,2.0,2711.0,0.491,SNV440_CPRP414,0.24,L_8M6_SED,1.0,995.0,0.455,SNV440_CPRP515,0.264,L_8M6_SED,1.0,582.0,0.292,SNV440_CPRP614,0.214,L_8M6_SED,1.0,803.0,0.406,SNV440_DEV51,0.242,L_8M6_SED,1.0,884.0,0.348,SNV440_PIR89,0.246,L_8M6_SED,1.0,1340.0,0.338,SNV440_SCPL225,0.23,L_8M6_SED,1.0,1982.0,0.493,SNV440_SCPL233,0.235,L_8M6_SED,1.0,1783.0,0.381,SNV440_SCPL745,0.198,L_8M6_SED,1.0,1916.0,0.465,SNV440_SRS86,0.205,L_8M6_SED,1.0,1794.0,0.516,TNV440,-0.067,L_8M6_SED,3.0,6011.0,2.001,,,,,,,AME417,256528.0,2026-09-14 02:07:11.482,AME417_A2,2.384,E_8BM0_HM_ETCH,12.0,574.0,0.465,LEO471,279390.0,2026-09-14 02:24:56.778,LEO471_SPN10,0.432,W_8M14_HM_CLN,2.0,479.0,0.294
5DXOY754MVH0,8M6CL,D614EAN0,2026-09-14 03:00:12,TBF442,174943.0,2026-09-14 00:06:06.471,TBF455,174938.0,2026-09-13 23:46:57.836,SNV440,273658.0,2026-09-14 00:36:05.953,SNV440_CADH413,0.258,L_8M6_SED,1.0,744.0,0.432,SNV440_CHK1,0.23,L_8M6_SED,4.0,5376.0,0.399,SNV440_COT44,0.224,L_8M6_SED,2.0,2755.0,0.504,SNV440_COT63,0.189,L_8M6_SED,2.0,2723.0,0.488,SNV440_CPRP313,0.232,L_8M6_SED,1.0,1212.0,0.393,SNV440_CPRP415,0.24,L_8M6_SED,1.0,993.0,0.457,SNV440_CPRP615,0.214,L_8M6_SED,1.0,800.0,0.396,SNV440_DEV32,0.23,L_8M6_SED,1.0,1167.0,0.398,SNV440_PIR810,0.245,L_8M6_SED,1.0,1343.0,0.336,SNV440_SCPL223,0.241,L_8M6_SED,2.0,1986.0,0.495,SNV440_SCPL341,0.23,L_8M6_SED,2.0,1834.0,0.402,SNV440_SCPL743,0.2,L_8M6_SED,2.0,1917.0,0.469,SNV440_SRS87,0.205,L_8M6_SED,2.0,1791.0,0.51,TNV440,-0.067,L_8M6_SED,4.0,6012.0,2.001,,,,,,,AME417,256528.0,2026-09-14 02:09:59.348,AME417_A1,2.384,E_8BM0_HM_ETCH,13.0,595.0,0.506,LEO471,279390.0,2026-09-14 02:25:03.650,LEO471_SPN14,0.432,W_8M14_HM_CLN,2.0,478.0,0.308
KJCJF330WFC2,8M5CL,D6214850,2026-09-13 14:36:20,TBF448,173452.0,2026-09-13 07:28:06.131,TBF445,173451.0,2026-09-13 07:09:43.642,SNY512,269853.0,2026-09-13 08:00:46.233,SNY512_ADEV141,0.757,L_8M9_SED,1.0,606.0,0.23,SNY512_CADH1111,0.726,L_8M9_SED,1.0,1367.0,0.493,SNY512_CHK1,0.714,L_8M9_SED,1.0,5437.0,0.374,SNY512_COT111,0.728,L_8M9_SED,1.0,2738.0,0.454,SNY512_CPHP1113,0.73,L_8M9_SED,1.0,1827.0,0.457,SNY512_CPHP1115,0.736,L_8M9_SED,1.0,1829.0,0.453,SNY512_CPHP1415,0.748,L_8M9_SED,1.0,605.0,0.275,SNY512_ICPL306,0.728,L_8M9_SED,1.0,1862.0,0.421,SNY512_ITC113,0.734,L_8M9_SED,1.0,2739.0,0.448,SNY512_PIR3021,0.713,L_8M9_SED,1.0,2721.0,0.356,SNY512_SCPL1131,0.73,L_8M9_SED,1.0,2736.0,0.476,SNY512_SCPL1133,0.725,L_8M9_SED,1.0,2738.0,0.457,SNY512_SCPL1431,0.737,L_8M9_SED,1.0,905.0,0.281,SNY512_SRS3011,0.753,L_8M9_SED,1.0,1381.0,0.394,TNP512,0.423,L_8M9_SED,1.0,5513.0,1.411,AME427,263067.0,2026-09-13 10:11:23.564,AME427_A2,0.14,E_8M7_HM_ETCH,4.0,1441.0,0.695,LEO425,279389.0,2026-09-13 13:27:36.536,LEO425_SPN06,2.77,W_8M8_HM_CLN,1.0,687.0,0.361
KJCJF379WFG7,8M5CL,D6214850,2026-09-13 14:36:20,TBF448,173452.0,2026-09-13 07:27:08.686,TBF445,173451.0,2026-09-13 07:10:31.738,SNY512,269853.0,2026-09-13 07:58:36.949,SNY512_ADEV151,0.734,L_8M9_SED,1.0,610.0,0.241,SNY512_CADH1112,0.719,L_8M9_SED,1.0,1366.0,0.494,SNY512_CHK1,0.714,L_8M9_SED,2.0,5438.0,0.374,SNY512_COT112,0.726,L_8M9_SED,1.0,2734.0,0.45,SNY512_CPHP1114,0.726,L_8M9_SED,1.0,1825.0,0.462,SNY512_CPHP1116,0.737,L_8M9_SED,1.0,1827.0,0.455,SNY512_CPHP1515,0.741,L_8M9_SED,1.0,609.0,0.263,SNY512_ICPL307,0.732,L_8M9_SED,1.0,1841.0,0.41,SNY512_ITC114,0.747,L_8M9_SED,1.0,2740.0,0.446,SNY512_PIR3022,0.722,L_8M9_SED,1.0,2718.0,0.356,SNY512_SCPL1132,0.724,L_8M9_SED,1.0,2733.0,0.475,SNY512_SCPL1134,0.743,L_8M9_SED,1.0,2739.0,0.456,SNY512_SCPL1531,0.718,L_8M9_SED,1.0,913.0,0.287,SNY512_SRS3012,0.751,L_8M9_SED,1.0,1358.0,0.388,TNP512,0.423,L_8M9_SED,2.0,5514.0,1.411,AME427,263067.0,2026-09-13 10:32:44.830,AME427_A2,0.14,E_8M7_HM_ETCH,9.0,1446.0,0.695,LEO425,279389.0,2026-09-13 10:57:35.034,LEO425_SPN22,0.36,,2.0,541.0,0.312
A2GTK024SLC6,8M5CL,D6215210,2026-09-13 14:21:04,TBF457,173452.0,2026-09-13 08:58:55.428,TBF450,173451.0,2026-09-13 08:34:26.995,SNY512,269853.0,2026-09-13 10:19:08.946,SNY512_ADEV152,0.797,L_8M5_SED,1.0,705.0,0.199,SNY512_CADH1121,0.706,L_8M5_SED,1.0,1584.0,0.402,SNY512_CHK1,0.735,L_8M5_SED,1.0,6295.0,0.311,SNY512_COT111,0.709,L_8M5_SED,1.0,3170.0,0.369,SNY512_CPHP1114,0.703,L_8M5_SED,1.0,2113.0,0.374,SNY512_CPHP1115,0.717,L_8M5_SED,1.0,2117.0,0.367,SNY512_CPHP1516,0.776,L_8M5_SED,1.0,705.0,0.233,SNY512_ICPL306,0.73,L_8M5_SED,1.0,2153.0,0.338,SNY512_ITC113,0.722,L_8M5_SED,1.0,3171.0,0.362,SNY512_PIR3022,0.759,L_8M5_SED,1.0,3145.0,0.293,SNY512_SCPL1131,0.71,L_8M5_SED,1.0,3169.0,0.385,SNY512_SCPL1133,0.714,L_8M5_SED,1.0,3170.0,0.371,SNY512_SCPL1531,0.778,L_8M5_SED,1.0,1057.0,0.24,SNY512_SRS3011,0.728,L_8M5_SED,1.0,1603.0,0.314,TNP512,0.442,L_8M5_SED,1.0,6377.0,1.136,AME427,263067.0,2026-09-13 12:16:02.661,AME427_A1,0.016,E_8M5_HM_ETCH,10.0,2697.0,0.734,LEO431,279389.0,2026-09-13 12:49:19.021,LEO431_SPN08,0.001,W_8BV2_ES_CLN,3.0,7604.0,0.558
A2HK2058SLG1,8M5CL,D6215210,2026-09-13 14:21:04,TBF457,173452.0,2026-09-13 08:57:43.451,TBF450,173451.0,2026-09-13 08:35:03.064,SNY512,269853.0,2026-09-13 10:19:39.348,SNY512_ADEV161,0.817,L_8M5_SED,1.0,704.0,0.197,SNY512_CADH1122,0.699,L_8M5_SED,1.0,1584.0,0.399,SNY512_CHK1,0.735,L_8M5_SED,2.0,6296.0,0.311,SNY512_COT112,0.72,L_8M5_SED,1.0,3165.0,0.366,SNY512_CPHP1116,0.718,L_8M5_SED,1.0,2114.0,0.367,SNY512_CPHP1123,0.723,L_8M5_SED,1.0,2110.0,0.373,SNY512_CPHP1615,0.795,L_8M5_SED,1.0,702.0,0.225,SNY512_ICPL307,0.752,L_8M5_SED,1.0,2129.0,0.327,SNY512_ITC114,0.736,L_8M5_SED,1.0,3171.0,0.358,SNY512_PIR3021,0.74,L_8M5_SED,1.0,3151.0,0.295,SNY512_SCPL1132,0.721,L_8M5_SED,1.0,3164.0,0.383,SNY512_SCPL1134,0.732,L_8M5_SED,1.0,3170.0,0.367,SNY512_SCPL1632,0.798,L_8M5_SED,1.0,1046.0,0.235,SNY512_SRS3012,0.758,L_8M5_SED,1.0,1575.0,0.305,TNP512,0.442,L_8M5_SED,2.0,6378.0,1.136,AME427,263067.0,2026-09-13 11:43:07.667,AME427_A2,0.016,E_8M5_HM_ETCH,2.0,1463.0,0.699,LEO431,279389.0,2026-09-13 12:43:55.057,LEO431_SPN17,0.002,W_8BV2_ES_CLN,1.0,5618.0,0.531
KJD2K244WFA5,8M5CL,D6214860,2026-09-13 13:28:52,TBF447,173452.0,2026-09-13 04:42:41.040,TBF455,173451.0,2026-09-13 04:30:10.564,SNY512,269853.0,2026-09-13 05:20:17.486,SNY512_ADEV141,0.06,L_8M8_SED,1.0,583.0,0.244,SNY512_CADH1111,0.002,L_8M8_SED,1.0,1316.0,0.542,SNY512_CHK1,0.019,L_8M8_SED,1.0,5233.0,0.402,SNY512_COT111,0.012,L_8M8_SED,1.0,2636.0,0.498,SNY512_CPHP1113,0.011,L_8M8_SED,1.0,1759.0,0.505,SNY512_CPHP1115,0.004,L_8M8_SED,1.0,1761.0,0.503,SNY512_CPHP1416,0.061,L_8M8_SED,1.0,581.0,0.295,SNY512_ICPL306,0.02,L_8M8_SED,1.0,1794.0,0.471,SNY512_ITC114,0.005,L_8M8_SED,1.0,2638.0,0.496,SNY512_PIR3022,0.021,L_8M8_SED,1.0,2616.0,0.382,SNY512_SCPL1131,0.006,L_8M8_SED,1.0,2634.0,0.52,SNY512_SCPL1134,0.006,L_8M8_SED,1.0,2637.0,0.505,SNY512_SCPL1432,0.037,L_8M8_SED,1.0,873.0,0.319,SNY512_SRS3011,0.026,L_8M8_SED,1.0,1330.0,0.44,TNP512,-0.304,L_8M8_SED,1.0,5309.0,1.674,AME419,263067.0,2026-09-13 07:43:15.489,AME419_C1,3.775,E_8BM0_HM_ETCH,13.0,456.0,0.236,LEO481,279389.0,2026-09-13 07:58:41.770,LEO481_SPN21,0.018,,2.0,238.0,0.195
KJD2K253WFA7,8M5CL,D6214860,2026-09-13 13:28:52,TBF447,173452.0,2026-09-13 04:42:27.485,TBF455,173451.0,2026-09-13 04:29:57.450,SNY512,269853.0,2026-09-13 05:20:47.639,SNY512_ADEV151,0.051,L_8M8_SED,1.0,587.0,0.258,SNY512_CADH1112,0.001,L_8M8_SED,1.0,1315.0,0.542,SNY512_CHK1,0.019,L_8M8_SED,2.0,5234.0,0.402,SNY512_COT112,0.013,L_8M8_SED,1.0,2632.0,0.495,SNY512_CPHP1114,0.005,L_8M8_SED,1.0,1757.0,0.508,SNY512_CPHP1116,0.004,L_8M8_SED,1.0,1759.0,0.503,SNY512_CPHP1516,0.057,L_8M8_SED,1.0,586.0,0.299,SNY512_ICPL307,0.02,L_8M8_SED,1.0,1773.0,0.458,SNY512_ITC113,0.005,L_8M8_SED,1.0,2637.0,0.497,SNY512_PIR3021,0.021,L_8M8_SED,1.0,2619.0,0.382,SNY512_SCPL1132,0.006,L_8M8_SED,1.0,2631.0,0.519,SNY512_SCPL1133,0.006,L_8M8_SED,1.0,2636.0,0.505,SNY512_SCPL1532,0.047,L_8M8_SED,1.0,874.0,0.311,SNY512_SRS3012,0.026,L_8M8_SED,1.0,1307.0,0.433,TNP512,-0.304,L_8M8_SED,2.0,5310.0,1.674,AME419,263067.0,2026-09-13 07:35:22.043,AME419_C2,3.835,E_8BM0_HM_ETCH,11.0,425.0,0.216,LEO481,279389.0,2026-09-13 07:57:47.677,LEO481_SPN24,0.014,,1.0,271.0,0.186
KJFWP250WFB4,8M6CL,D6232420,2026-09-13 01:10:25,TBF457,174943.0,2026-09-12 21:16:04.288,TBF450,174938.0,2026-09-12 20:57:26.788,SNY512,277586.0,2026-09-12 22:39:07.774,SNY512_ADEV141,0.629,L_8M8_SED,1.0,664.0,0.354,SNY512_CADH1111,0.52,L_8M8_SED,1.0,1495.0,0.754,SNY512_CHK1,0.569,L_8M8_SED,1.0,5968.0,0.589,SNY512_COT111,0.523,L_8M8_SED,1.0,2992.0,0.686,SNY512_CPHP1113,0.533,L_8M8_SED,1.0,1996.0,0.701,SNY512_CPHP1115,0.538,L_8M8_SED,1.0,1996.0,0.715,SNY512_CPHP1415,0.564,L_8M8_SED,1.0,663.0,0.413,SNY512_ICPL306,0.544,L_8M8_SED,1.0,2028.0,0.651,SNY512_ITC113,0.543,L_8M8_SED,1.0,2990.0,0.71,SNY512_PIR3021,0.567,L_8M8_SED,1.0,2987.0,0.558,SNY512_SCPL1131,0.524,L_8M8_SED,1.0,2992.0,0.732,SNY512_SCPL1133,0.534,L_8M8_SED,1.0,2990.0,0.709,SNY512_SCPL1431,0.607,L_8M8_SED,1.0,991.0,0.439,SNY512_SRS3011,0.542,L_8M8_SED,1.0,1512.0,0.621,TNP512,0.276,L_8M8_SED,1.0,6019.0,2.359,AME425,256528.0,2026-09-13 00:41:47.183,AME425_B2,6.261,E_8M5_HM_ETCH,24.0,406.0,0.126,LEO425,279390.0,2026-09-13 00:53:53.507,LEO425_SPN13,0.049,W_8M6_HM_CLN,2.0,670.0,0.498
KJFWP254WFD6,8M6CL,D6232420,2026-09-13 01:10:25,TBF457,174943.0,2026-09-12 21:12:23.649,TBF450,174938.0,2026-09-12 20:56:08.855,SNY512,277586.0,2026-09-12 22:37:08.865,SNY512_ADEV151,0.592,L_8M8_SED,1.0,668.0,0.364,SNY512_CADH1112,0.513,L_8M8_SED,1.0,1493.0,0.755,SNY512_CHK1,0.569,L_8M8_SED,2.0,5969.0,0.589,SNY512_COT112,0.535,L_8M8_SED,1.0,2990.0,0.686,SNY512_CPHP1114,0.528,L_8M8_SED,1.0,1994.0,0.706,SNY512_CPHP1116,0.539,L_8M8_SED,1.0,1993.0,0.715,SNY512_CPHP1515,0.601,L_8M8_SED,1.0,668.0,0.403,SNY512_ICPL307,0.566,L_8M8_SED,1.0,2011.0,0.647,SNY512_ITC114,0.542,L_8M8_SED,1.0,2992.0,0.71,SNY512_PIR3022,0.578,L_8M8_SED,1.0,2983.0,0.562,SNY512_SCPL1132,0.535,L_8M8_SED,1.0,2990.0,0.732,SNY512_SCPL1134,0.538,L_8M8_SED,1.0,2992.0,0.714,SNY512_SCPL1531,0.588,L_8M8_SED,1.0,1003.0,0.438,SNY512_SRS3012,0.572,L_8M8_SED,1.0,1491.0,0.619,TNP512,0.276,L_8M8_SED,2.0,6020.0,2.359,AME425,256528.0,2026-09-12 23:48:09.771,AME425_B2,6.261,E_8M5_HM_ETCH,6.0,388.0,0.126,LEO425,279390.0,2026-09-13 00:51:11.924,LEO425_SPN13,0.049,W_8M6_HM_CLN,1.0,669.0,0.498
KJFWP327WFC1,8M6CL,D6232420,2026-09-13 01:10:25,TBF457,174943.0,2026-09-12 21:14:58.837,TBF450,174938.0,2026-09-12 20:57:17.778,SNY512,277586.0,2026-09-12 22:37:30.333,SNY512_ADEV161,0.593,L_8M8_SED,1.0,666.0,0.358,SNY512_CADH1121,0.506,L_8M8_SED,1.0,1498.0,0.755,SNY512_CHK1,0.569,L_8M8_SED,3.0,5970.0,0.589,SNY512_COT111,0.523,L_8M8_SED,2.0,2993.0,0.686,SNY512_CPHP1123,0.529,L_8M8_SED,1.0,1993.0,0.707,SNY512_CPHP1126,0.54,L_8M8_SED,1.0,1994.0,0.714,SNY512_CPHP1615,0.599,L_8M8_SED,1.0,665.0,0.406,SNY512_ICPL308,0.568,L_8M8_SED,1.0,1997.0,0.649,SNY512_ITC113,0.543,L_8M8_SED,2.0,2991.0,0.71,SNY512_PIR3021,0.567,L_8M8_SED,2.0,2988.0,0.558,SNY512_SCPL1131,0.524,L_8M8_SED,2.0,2993.0,0.732,SNY512_SCPL1133,0.534,L_8M8_SED,2.0,2991.0,0.709,SNY512_SCPL1631,0.587,L_8M8_SED,1.0,1000.0,0.453,SNY512_SRS3013,0.572,L_8M8_SED,1.0,1482.0,0.621,TNP512,0.276,L_8M8_SED,3.0,6021.0,2.359,AME425,256528.0,2026-09-13 00:23:54.818,AME425_B2,6.261,E_8M5_HM_ETCH,18.0,400.0,0.126,LEO425,279390.0,2026-09-13 00:51:44.677,LEO425_SPN07,0.067,W_8M6_HM_CLN,1.0,787.0,0.484
KJFWP343WFB4,8M6CL,D6232420,2026-09-13 01:10:25,TBF457,174943.0,2026-09-12 21:12:06.725,TBF450,174938.0,2026-09-12 20:56:03.099,SNY512,277586.0,2026-09-12 22:40:16.127,SNY512_ADEV142,0.63,L_8M8_SED,1.0,664.0,0.358,SNY512_CADH1122,0.533,L_8M8_SED,1.0,1498.0,0.756,SNY512_CHK1,0.569,L_8M8_SED,4.0,5971.0,0.589,SNY512_COT112,0.535,L_8M8_SED,2.0,2991.0,0.686,SNY512_CPHP1113,0.533,L_8M8_SED,2.0,1997.0,0.701,SNY512_CPHP1115,0.538,L_8M8_SED,2.0,1997.0,0.715,SNY512_CPHP1416,0.617,L_8M8_SED,1.0,662.0,0.414,SNY512_ICPL306,0.544,L_8M8_SED,2.0,2029.0,0.651,SNY512_ITC114,0.542,L_8M8_SED,2.0,2993.0,0.71,SNY512_PIR3022,0.578,L_8M8_SED,2.0,2984.0,0.562,SNY512_SCPL1132,0.535,L_8M8_SED,2.0,2991.0,0.732,SNY512_SCPL1134,0.538,L_8M8_SED,2.0,2993.0,0.714,SNY512_SCPL1432,0.591,L_8M8_SED,1.0,994.0,0.441,SNY512_SRS3014,0.574,L_8M8_SED,1.0,1473.0,0.616,TNP512,0.276,L_8M8_SED,4.0,6022.0,2.359,AME425,256528.0,2026-09-12 23:36:14.028,AME425_B2,6.261,E_8M5_HM_ETCH,2.0,384.0,0.126,LEO425,279390.0,2026-09-13 00:51:07.601,LEO425_SPN08,0.1,W_8M6_HM_CLN,1.0,755.0,0.482
5DXXQ444MVH0,8M5CL,D6242920,2026-09-13 00:54:04,TBF447,173452.0,2026-09-12 20:55:11.713,TBF445,173451.0,2026-09-12 20:43:36.129,SNY510,269853.0,2026-09-12 21:36:55.079,SNY510_ADEV161,0.062,L_8M5_SED,1.0,3685.0,0.379,SNY510_CADH1312,0.002,L_8M5_SED,1.0,8087.0,0.812,SNY510_CHK1,0.005,L_8M5_SED,1.0,33262.0,0.606,SNY510_COT132,0.022,L_8M5_SED,1.0,16040.0,0.756,SNY510_CPHP1313,0.02,L_8M5_SED,1.0,10811.0,0.767,SNY510_CPHP1316,0.031,L_8M5_SED,1.0,10624.0,0.742,SNY510_CPHP1616,0.019,L_8M5_SED,1.0,3681.0,0.466,SNY510_ICPL307,0.008,L_8M5_SED,1.0,11423.0,0.765,SNY510_ITC133,0.032,L_8M5_SED,1.0,16151.0,0.746,SNY510_PIR3021,0.008,L_8M5_SED,1.0,16477.0,0.578,SNY510_SCPL1332,0.006,L_8M5_SED,1.0,16049.0,0.688,SNY510_SCPL1333,0.022,L_8M5_SED,1.0,16150.0,0.751,SNY510_SCPL1631,0.043,L_8M5_SED,1.0,5636.0,0.473,SNY510_SRS3014,0.001,L_8M5_SED,1.0,13318.0,0.786,TNP510,-0.392,L_8M5_SED,1.0,34256.0,3.307,AME425,263067.0,2026-09-12 22:49:20.861,AME425_A1,2.047,E_8M5_HM_ETCH,3.0,2047.0,0.502,LEO425,279389.0,2026-09-12 23:42:26.747,LEO425_SPN08,0.002,W_8M3_HM2_CLN,1.0,771.0,0.521
